seed,accuracy,macro_f1,weighted_f1,val_macro_f1_best,checkpoint_path
0,0.943159767141009,0.9278721533003053,0.9435858684204037,0.9667416681349353,results/checkpoints/s2_seed_0_best.pth
1,0.9303848641655886,0.9124295681708805,0.9311231017266223,0.9574554716882289,results/checkpoints/s2_seed_1_best.pth
2,0.86877425614489,0.7945966888074247,0.8324422001895846,0.965193280916658,results/checkpoints/s2_seed_2_best.pth
3,0.9059670116429496,0.8923496090885233,0.907962235995615,0.957131076141906,results/checkpoints/s2_seed_3_best.pth
4,0.9478492884864166,0.9265823017845704,0.9500342370114833,0.9594137400072181,results/checkpoints/s2_seed_4_best.pth
mean,0.9192270375161706,0.8907660642303409,0.9130295286687418,0.9611870473777893,
std,0.03254926008258313,0.05563278823037402,0.04782888952033571,0.004483968603464673,
