seed,accuracy,macro_f1,weighted_f1,val_macro_f1_best,checkpoint_path
0,0.8730595084087969,0.8175780814541475,0.8522033946741455,0.956627574803615,results/checkpoints/s2_seed_0_best.pth
1,0.9511642949547219,0.9312808994675819,0.9529415245692866,0.9583964176009868,results/checkpoints/s2_seed_1_best.pth
2,0.8809831824062095,0.8326466426750031,0.8587500106904801,0.97368903082026,results/checkpoints/s2_seed_2_best.pth
3,0.8209087968952135,0.8259549909438354,0.8245367206451107,0.9752107282790449,results/checkpoints/s2_seed_3_best.pth
4,0.9107373868046572,0.8828778119504966,0.9013961411573164,0.9717929207014947,results/checkpoints/s2_seed_4_best.pth
mean,0.8873706338939199,0.8580676852982128,0.8779655583472679,0.9671433344410802,
std,0.048162277665028855,0.0481990136821033,0.05014467760594914,0.00889715392385009,
