seed,accuracy,f1_binary,fpr,fnr,auc_roc,val_loss_final,epochs_run
0,0.8864003880983182,0.857374885798396,0.015483494011101374,0.23524085476276713,0.9189831252103634,0.07321297383217136,20.0
1,0.8774256144890039,0.8475462590506838,0.030382705229330995,0.23687069902209346,0.903166726502219,0.08753687153579501,23.0
2,0.8800937904269082,0.8505492290637912,0.026438796377446686,0.23578413618254257,0.8747978896831339,0.07570385737294233,12.0
3,0.8736254851228978,0.8433710792664596,0.036371603856266435,0.23795726186164434,0.8823694809903351,0.09143580477232002,19.0
4,0.9484152652005174,0.940093896713615,0.01782062518258837,0.09344440420137631,0.9813083072591052,0.09401396092424036,20.0
mean,0.8931921086675292,0.8677870699785892,0.02529944493134677,0.20785947120608475,0.9121251059290314,0.08438069368749382,18.8
std,0.031219887580309066,0.040742069660147366,0.008689303734139979,0.06396847461632123,0.04240376936327639,0.009388042179821119,4.08656334834051
