excluded_attack,cae_recall_mean,cae_recall_std,unknown_rate_mean,unknown_rate_std,normal_fpr_mean,normal_fpr_std
C_D,0.06563421828908554,0.0,0.003392330383480826,0.0025863831735619736,0.09684487291849254,0.0
C_R,0.41961514587212906,0.0,0.02408441961514587,0.03767186408447956,0.09684487291849254,0.0
F_I,0.2596491228070175,0.0,0.07614035087719298,0.025198504013010183,0.09684487291849254,0.0
M_F,1.0,0.0,0.056494325346784356,0.0255868749241447,0.09684487291849254,0.0
P_I,1.0,0.0,0.06577181208053692,0.08991903316629861,0.09684487291849254,0.0
grand_mean,0.5489796973936464,0.39288167416063474,0.045176647660628184,0.05070866135086,0.09684487291849254,0.0
