tau_type,tau_val,normal_fpr,attack_tpr,youden_j,note
tau_2sigma,0.003377733905928021,0.040897097625329816,0.6320564516129032,0.5911593539875735,headline
tau_3sigma,0.003910323803153567,0.018469656992084433,0.49193548387096775,0.47346582687888333,—
p95,0.003295306675136089,0.05013192612137203,0.6663306451612904,0.6161987190399183,—
p99,0.004216583697125312,0.010554089709762533,0.4475806451612903,0.4370265554515278,—
tau_log,0.0034350572453707155,0.03562005277044855,0.6088709677419355,0.573250914971487,—
youden_j,0.0026776036247611046,0.1820580474934037,0.9112903225806451,0.7292322750872414,oracle 상한만
