seed,accuracy,f1_binary,fpr,fnr,auc_roc,val_loss_final,epochs_run
0,0.9129204398447607,0.8935034114506081,0.010663160969909435,0.18181818181818182,0.9528390567546827,0.05687497811735316,20.0
1,0.9232697283311773,0.9079445145018915,0.01562956470931931,0.15248098515030786,0.9587594169573003,0.0797089844009285,14.0
2,0.88122574385511,0.8511500658628027,0.02147239263803681,0.23940601231437886,0.8896811500446041,0.059557305234259096,18.0
3,0.8699062095730918,0.8395972485295584,0.04352906806894537,0.2374139804418689,0.8725087036656709,0.06066415439397473,18.0
4,0.9725905562742562,0.9690608743269143,0.018404907975460124,0.0385729808040565,0.9931928197760573,0.06002794701288167,19.0
mean,0.9119825355756792,0.8922512229343551,0.02193981887233421,0.1699384281057588,0.9333962294396632,0.06336667383187942,17.8
std,0.04036709676374853,0.05150076712193671,0.012706219778684082,0.08228223840299896,0.050535250054565696,0.00924898947428765,2.2803508501982757
