seed,class,precision,recall,f1,support
0,Normal,0.8969950881248194,0.9069529652351738,0.9019465427077281,6846.0
0,F_I,0.5924225028702641,0.9052631578947369,0.7161693268563497,570.0
0,P_I,0.9682926829268292,0.9991610738255033,0.9834847233691164,1192.0
0,M_F,0.9936788874841972,0.9911727616645649,0.9924242424242424,793.0
0,C_D,0.73224043715847,0.4941002949852507,0.590048436811977,1356.0
0,C_R,0.9609517998779744,0.9776536312849162,0.9692307692307692,1611.0
1,Normal,0.9745104134286603,0.915863277826468,0.9442771084337349,6846.0
1,F_I,0.6196172248803827,0.9087719298245615,0.7368421052631579,570.0
1,P_I,0.993322203672788,0.9983221476510067,0.99581589958159,1192.0
1,M_F,0.9923371647509579,0.9798234552332913,0.9860406091370558,793.0
1,C_D,0.8120678818353237,0.9528023598820059,0.8768238887003733,1356.0
1,C_R,0.9967234600262124,0.9441340782122905,0.9697162894485177,1611.0
2,Normal,0.8223847297967278,0.9691790826760152,0.8897680032184525,6846.0
2,F_I,0.713276836158192,0.8859649122807017,0.7902973395931142,570.0
2,P_I,0.9916597164303587,0.99748322147651,0.9945629443747386,1192.0
2,M_F,0.9974424552429667,0.9836065573770492,0.9904761904761905,793.0
2,C_D,0.5862068965517241,0.012536873156342183,0.02454873646209386,1356.0
2,C_R,0.9968394437420987,0.978895096213532,0.9877857813968055,1611.0
3,Normal,0.8278029160382101,0.9620216184633362,0.889879745980273,6846.0
3,F_I,0.7080491132332879,0.9105263157894737,0.7966231772831927,570.0
3,P_I,0.9722222222222222,0.9983221476510067,0.9850993377483444,1192.0
3,M_F,0.9974554707379135,0.9886506935687264,0.9930335655478151,793.0
3,C_D,0.8461538461538461,0.048672566371681415,0.09205020920502092,1356.0
3,C_R,0.9880578252671276,0.9757914338919925,0.9818863210493441,1611.0
4,Normal,0.8597267404033833,0.9650891031259129,0.9093661826440025,6846.0
4,F_I,0.7303206997084548,0.8789473684210526,0.7977707006369427,570.0
4,P_I,0.9810543657331137,0.9991610738255033,0.9900249376558603,1192.0
4,M_F,1.0,0.9899117276166457,0.9949302915082383,793.0
4,C_D,0.9175531914893617,0.25442477876106195,0.39838337182448036,1356.0
4,C_R,0.9802712700369913,0.9869646182495344,0.9836065573770492,1611.0
mean,C_D,0.7788444506377451,0.35250737463126847,0.3963709286007891,1356.0
mean,C_R,0.984568759790081,0.9726877715704532,0.9784451437004972,1611.0
mean,F_I,0.6727372753701163,0.8978947368421053,0.7675405299265514,570.0
mean,M_F,0.9961827956432071,0.9866330390920555,0.9913809798187085,793.0
mean,Normal,0.8762839775583602,0.9438212094653812,0.9070475165968382,6846.0
mean,P_I,0.9813102381970623,0.9984899328859059,0.9897975685459299,1192.0
std,C_D,0.1266448056678058,0.38662590207054265,0.35327500506102133,0.0
std,C_R,0.014888831502602869,0.016522447739548352,0.008467983801960826,0.0
std,F_I,0.06220617952910514,0.014435089425069672,0.03827182307633211,0.0
std,M_F,0.0031159238731734355,0.004768643228547043,0.0033821314543263843,0.0
std,Normal,0.06246412398784365,0.0298643319712641,0.022420707982434427,0.0
std,P_I,0.011219550621368816,0.0007018959954144836,0.005497867741464249,0.0
