seed,accuracy,macro_f1,weighted_f1,val_macro_f1_best,checkpoint_path
0,0.8851067270375161,0.8588840069000305,0.8816126464854016,0.9641670100439388,results/checkpoints/s2_seed_0_best.pth
1,0.9353169469598965,0.9182526500940716,0.9382802373110896,0.9559165903063294,results/checkpoints/s2_seed_1_best.pth
2,0.8653783958602846,0.7795731659202324,0.8196473854153267,0.9735124640021696,results/checkpoints/s2_seed_2_best.pth
3,0.8665103492884865,0.7897620594689982,0.8258849391171017,0.966357076545748,results/checkpoints/s2_seed_3_best.pth
4,0.8909282018111255,0.8456803402744288,0.8711301462422492,0.9714790684403464,results/checkpoints/s2_seed_4_best.pth
mean,0.8886481241914618,0.8384304445315524,0.8673110709142338,0.9662864418677064,
std,0.028404579739043978,0.05629228333625416,0.04807206644782282,0.006913927402876274,
