tau_type,tau_val,normal_fpr,attack_tpr,youden_j,note
tau_2sigma,0.003183469583746046,0.03958090803259604,0.7436399217221135,0.7040590136895174,headline
tau_3sigma,0.003654634958365932,0.01629802095459837,0.6066536203522505,0.5903555993976521,—
p95,0.0030264498200267553,0.050058207217694994,0.8003913894324853,0.7503331822147903,—
p99,0.004098434466868639,0.010477299185098952,0.5244618395303327,0.5139845403452337,—
tau_log,0.0032237584237009287,0.037252619324796274,0.7279843444227005,0.6907317250979043,—
youden_j,0.0027944257017225027,0.09429569266589057,0.8864970645792564,0.7922013719133658,oracle 상한만
